pdf,model,n_pages,recommendation,average_score,total_score,max_score,author_credibility_score,author_credibility_justification,research_question_and_methods_score,research_question_and_methods_justification,results_and_conclusion_score,results_and_conclusion_justification,references_score,references_justification,feedback_score,feedback_justification,n_authors,n_institutes,corresponding_author,s2_papers,s2_hindex,author_flags
10.21203_rs.3.rs-6801293_v1.pdf,gpt-4o-mini,33,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions or universities, with a mix of relevant expertise. The study involves 2–3 institutions with a corresponding author from a well-respected institution, but no authors have verified research output from Semantic Scholar.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design. Methodology is detailed enough for replication and addresses a pressing public health concern.",1,Results are reported but lack supporting figures or tables that align with the data and methods described. Conclusions are overstated and not fully supported by the results.,3,"The reference list includes a balanced mix of relevant peer-reviewed studies, but could be further strengthened with more foundational or recent work.",,Not evaluated automatically. Requires manual check of preprint server.,6,5,Jia Jinzhong,,,commercial affiliation (Shandong Institute of Parasitic Disease Prevention and Control is a company)
10.21203_rs.3.rs-7651316_v1.pdf,gpt-4o-mini,27,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible institutions, including two highly regarded universities, and there are five distinct institutions involved. Expertise appears to be sufficient among multiple authors.",3,"The objectives and hypotheses are explicit and aligned with the study design, describing a detailed methodology for a pressing public health concern.",1,"Findings lack clear interpretation and conclusions are speculative, with inconsistencies in the reporting of results.",3,The references include a balanced mix of foundational and recent peer-reviewed studies relevant to the topic.,,Not evaluated automatically. Requires manual check of preprint server.,5,4,Peter Hill,,,
10.21203_rs.3.rs-7693403_v1.pdf,gpt-4o-mini,15,reject,1.75,7,12,1,"All authors are affiliated with a healthcare institution, but the institution is not primarily a university or research institute, and there is only one distinct affiliation. There is insufficient evidence of verifiable expertise among the authors.",3,"The objectives and hypotheses are explicit, and methodology is detailed enough to understand and reproduce the study, addressing a pressing public health issue.",1,"Results lack supporting figures or tables, and some conclusions appear to be overstated or not fully grounded in the evidence presented.",2,"The references include a balanced mix of credible sources, including foundational studies, though the depth of some references may not support key arguments.",,Not evaluated automatically. Requires manual check of preprint server.,4,1,Joshua Teo,6,1,low-credibility institution
10.21203_rs.3.rs-7835411_v1.pdf,gpt-4o-mini,22,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible educational institutions, but there is only a limited number of authors with verifiable expertise. The study involves multiple institutions, but no main or corresponding author is from a globally or nationally recognized institution.",3,"The study has explicit objectives regarding Black fathers' involvement and COVID-19's impact, with a detailed methodology for how focus groups were conducted. This aligns with the score description indicating clear links to public health relevance.",1,"The results lack sufficient supporting figures or tables, and the conclusions drawn appear to be overstated without strong backing from the data presented. These weaknesses match the score description for score 1.",3,The reference list includes a balanced mix of recent and domain-relevant peer-reviewed studies but does not reach the threshold of more than 20 references to score higher.,,Not evaluated automatically. Requires manual check of preprint server.,11,8,Latrice Rollins,,,"Equity for Health, Inc. is a commercial entity"
10.21203_rs.3.rs-7974126_v1.pdf,gpt-4o-mini,41,accept_with_reservations,2.0,8,12,2,"All authors are affiliated with credible institutions with a research track record. Study involves 2 distinct institutions and has 2 authors with some level of expertise, but no high publication metrics found for the corresponding author.",2,"The study presents explicit objectives and hypotheses aligned with a detailed systematic review methodology, ensuring transparency and reproducibility, indicating a clear link to public health relevance.",1,The results section lacks sufficient supporting figures or tables and makes conclusions that are overly broad and not fully substantiated by the evidence provided in the paper.,3,"The paper includes a relevant selection of sources, but it does not exceed the threshold of 20 references, limiting its coverage of foundational and recent work.",,Not evaluated automatically. Requires manual check of preprint server.,2,2,Zeyu Wu,,,
10.21203_rs.3.rs-8222390_v1.pdf,gpt-4o-mini,20,reject,2.0,8,12,1,"The corresponding author is affiliated with Gebze Technical University, which is considered low-credibility due to its score. Additionally, there is only one author with no verifiable expertise.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design. The methodology is detailed enough for understanding and replication, addressing pressing public health concerns related to energy management.",1,"Results are inconsistent with the data presented, particularly regarding region-specific emission impacts. Additionally, conclusions about general welfare gains seem overstated in the context of observable rebound effects.",3,"The paper includes a reasonable number of references that cover both foundational and recent studies; however, it does not fully utilize a broad range of recent peer-reviewed literature to support its claims.",,Not evaluated automatically. Requires manual check of preprint server.,1,1,Metin Piskin,22,7,
10.21203_rs.3.rs-8335382_v1.pdf,gpt-4o-mini,14,accept,2.5,10,12,2,"Authors are affiliated with two distinct institutions, one being a credible university. Up to 2 authors have verifiable expertise, but the corresponding author's expertise is uncertain due to the matching method used.",3,"The objectives are clearly stated, testable, and well-aligned with a detailed methodology that makes replication possible. The study addresses a specific public health concern regarding gastric SMTs.",2,"The results are relevant and presented with some inconsistencies, but the conclusions, while cautious, lack some clarity and are only partially supported by the evidence presented.",3,"The references include a balanced mix of foundational and recent work, supporting the study's context, covering relevant peer-reviewed studies.",,Not evaluated automatically. Requires manual check of preprint server.,14,2,Yuqiao Chen,14,7,
10.21203_rs.3.rs-8337580_v1.pdf,gpt-4o-mini,53,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible institutions that have relevant expertise. The study involves 3 distinct institutions, and there are 2 authors with some verifiable expertise, although the corresponding author has a low publication count and a weak match signal.",3,"The objectives and hypotheses are clearly stated, with detailed methodology presented that allows for replication. The study addresses a pressing public health concern related to CRISPR and phage interactions.",1,"Results are poorly substantiated, lacking definitive support from figures or clear alignment with the provided methods. Conclusions drawn seem overstated and not fully backed by the presented data.",3,"The paper includes a balanced selection of relevant references, but its impact is diminished by the absence of some recent foundational studies in the field.",,Not evaluated automatically. Requires manual check of preprint server.,9,3,Yingfei Ma,7,6,
10.21203_rs.3.rs-8360439_v1.pdf,gpt-4o-mini,11,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible institutions, including prestigious universities and research laboratories. The corresponding author is from a well-established institution, and there are more than 3 distinct institutions involved in the study, with several authors having relevant expertise.",3,"The objectives and methodology of the study are clearly defined, detailing the proposed quantum algorithms and their applicability to early fault-tolerant quantum devices, aligning with public health concerns in quantum computing.",1,"The results do not include supporting figures or clear interpretations, and conclusions drawn are not sufficiently grounded in the presented evidence.",3,"The reference list includes a selection of both foundational and recent studies related to the methodology but does not excessively cover major prior works, falling short of comprehensiveness.",,Not evaluated automatically. Requires manual check of preprint server.,4,5,Zhiyan Ding,5,1,
10.21203_rs.3.rs-8368751_v1.pdf,gpt-4o-mini,16,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible institutions with some research output. However, the corresponding author lacks verifiable expertise based on available data.",3,"The objectives and hypotheses are clear, well-defined, and are aligned with the methods involving longitudinal data collection and specific outcome measures, demonstrating public health relevance.",1,"Results presented appear inconsistent with the findings due to missing data on primary outcomes. Conclusions are speculative, indicating limitations without strong evidence.",3,"The reference list includes relevant, peer-reviewed sources, though it lacks some foundational studies in the field, showing an adequate but not exhaustive scope.",,Not evaluated automatically. Requires manual check of preprint server.,5,4,Timothy Hahn,,,
